Model,Precision,Recall,f1_score,roc_auc,latency,true_positive,false_positive,false_negative,true_negative,Average_f1
Random Forest,0.9981256077131243,0.9992728381595768,0.9986988934733684,0.9999850061768014,0.002500386828867575,85201,160,62,237389,0.9994060317687856
Isolation Forest,0.3615895867350459,0.18440589704795748,0.2442483649977475,,,15723,27760,69540,209789,
